order_id,customer_id,order_date,status,subtotal,shipping_fee,tax,total,payment_method
O0001,C004,2026-01-18,cancelled,210.93,0.00,20.04,230.97,credit_card
O0002,C014,2026-01-19,completed,24.99,5.99,2.37,33.35,credit_card
O0003,C018,2026-02-09,cancelled,86.93,0.00,8.26,95.19,paypal
O0004,C009,2026-02-03,completed,88.45,0.00,8.40,96.85,paypal
O0005,C002,2026-04-18,completed,21.99,5.99,2.09,30.07,paypal
O0006,C012,2026-03-29,completed,56.97,5.99,5.41,68.37,debit_card
O0007,C010,2026-01-25,refunded,68.96,5.99,6.55,81.50,paypal
O0008,C006,2026-03-03,completed,119.94,0.00,11.39,131.33,credit_card
O0009,C006,2026-03-24,cancelled,109.96,0.00,10.45,120.41,debit_card
O0010,C011,2026-04-23,refunded,24.99,5.99,2.37,33.35,paypal
O0011,C013,2026-02-18,completed,59.96,5.99,5.70,71.65,apple_pay
O0012,C013,2026-04-07,completed,129.96,0.00,12.35,142.31,paypal
O0013,C014,2026-03-30,completed,144.96,0.00,13.77,158.73,credit_card
O0014,C005,2026-04-05,completed,149.90,0.00,14.24,164.14,credit_card
O0015,C004,2026-04-12,pending,106.45,0.00,10.11,116.56,apple_pay
O0016,C001,2026-04-17,cancelled,206.94,0.00,19.66,226.60,debit_card
O0017,C005,2026-03-03,refunded,102.96,0.00,9.78,112.74,paypal
O0018,C016,2026-01-17,completed,103.95,0.00,9.88,113.83,credit_card
O0019,C016,2026-04-29,completed,169.95,0.00,16.15,186.10,debit_card
O0020,C009,2026-03-23,refunded,282.90,0.00,26.88,309.78,apple_pay
O0021,C017,2026-03-13,completed,62.47,5.99,5.93,74.39,debit_card
O0022,C008,2026-01-15,completed,24.99,5.99,2.37,33.35,credit_card
O0023,C011,2026-01-24,pending,49.97,5.99,4.75,60.71,debit_card
O0024,C016,2026-02-15,refunded,158.91,0.00,15.10,174.01,apple_pay
O0025,C015,2026-04-18,completed,37.98,5.99,3.61,47.58,paypal
O0026,C004,2026-02-15,completed,84.97,0.00,8.07,93.04,debit_card
O0027,C009,2026-03-15,completed,44.97,5.99,4.27,55.23,credit_card
O0028,C002,2026-04-08,pending,12.49,5.99,1.19,19.67,debit_card
O0029,C014,2026-03-18,completed,59.97,5.99,5.70,71.66,credit_card
O0030,C013,2026-02-17,refunded,156.95,0.00,14.91,171.86,credit_card
O0031,C018,2026-01-22,cancelled,112.92,0.00,10.73,123.65,debit_card
O0032,C002,2026-03-21,completed,39.46,5.99,3.75,49.20,debit_card
